дата,выход,направление
2021-08-11,72.72266973163981,ш
2021-08-12,72.64119539456756,л
2021-08-13,72.47586947799526,л
2021-08-16,72.52533241537131,л
2021-08-17,72.48276219421868,л
2021-08-18,72.61093321293696,ш
2021-08-19,72.6475136646601,л
2021-08-20,72.60025178876171,ш
2021-08-23,72.98077569425173,ш
2021-08-24,73.03376584597628,л
2021-08-25,73.24707848150258,ш
2021-08-26,73.35698063072941,ш
2021-08-27,73.37014634289932,ш
2021-08-30,73.84920377635149,ш
2021-08-31,73.90750079400321,л
2021-09-01,74.11327279154285,л
2021-09-02,74.20383754192325,л
2021-09-03,74.18720702777937,л
2021-09-06,74.53087067920121,л
2021-09-07,74.53504219078819,л
2021-09-08,74.6855423904978,л
2021-09-09,74.72168489715692,ш
2021-09-10,74.65338745123995,ш
2021-09-13,74.87520406810538,л
2021-09-14,74.85423193283572,л
2021-09-15,74.988854876034,л
2021-09-16,75.018848271256,л
2021-09-17,74.95427211913842,ш
2021-09-20,75.24320787803727,ш
2021-09-21,75.26072687324842,ш
2021-09-22,75.44000850433359,л
2021-09-23,75.51939668123119,ш
2021-09-24,75.50738460743135,л
2021-09-27,75.956381233782,ш
2021-09-28,76.02252667913118,л
2021-09-29,76.2455033497298,л
2021-09-30,76.36232511141131,ш
2021-10-01,76.38035103913623,л
2021-10-04,76.86729364793261,л
2021-10-05,76.92741378935929,л
2021-10-06,77.13506997154342,л
2021-10-07,77.22770457788003,ш
2021-10-08,77.2133543215433,л
2021-10-11,77.56399600255453,ш
2021-10-12,77.56976866797444,л
2021-10-13,77.72096362355727,л
2021-10-14,77.75649997285707,л
2021-10-15,77.68587502599772,ш
2021-10-18,77.88608585659468,ш
2021-10-19,77.85167019465663,л
2021-10-20,77.96912059039957,ш
2021-10-21,77.97791479683173,л
2021-10-22,77.88787167819271,л
2021-10-25,78.0733417294274,л
2021-10-26,78.04719813824244,ш
2021-10-27,78.17831906840075,л
2021-10-28,78.20519430856498,ш
2021-10-29,78.1365170070361,л
2021-11-01,78.39325136076113,ш
2021-11-02,78.38892226871593,л
2021-11-03,78.53879072418962,л
2021-11-05,78.52087400751408,л
2021-11-08,78.76695143087717,л
2021-11-09,78.74471077527862,л
2021-11-10,78.86930975499034,ш
2021-11-11,78.87833980204749,ш
2021-11-12,78.77995192135003,л
2021-11-15,78.87660126673016,л
2021-11-16,78.79723176398295,л
2021-11-17,78.8631070386131,ш
2021-11-18,78.81319909942917,ш
2021-11-19,78.65708645143886,ш
2021-11-22,78.60209044147167,л
2021-11-23,78.48385714695051,л
2021-11-24,78.51873818458411,л
2021-11-25,78.4467310038437,ш
2021-11-26,78.27828325933969,л
2021-11-29,78.25093970759656,ш
2021-11-30,78.16458165094205,л
2021-12-01,78.2427587391785,ш
2021-12-02,78.22525876968652,л
2021-12-03,78.12215801049963,ш
2021-12-06,78.35007661346684,ш
2021-12-07,78.36603006621262,ш
2021-12-08,78.55364995750686,ш
2021-12-09,78.65174137128923,ш
2021-12-10,78.66935951705536,л
2021-12-13,79.27971987922528,ш
2021-12-14,79.4264124529362,ш
2021-12-15,79.74467231453735,ш
2021-12-16,79.97229101600776,л
2021-12-17,80.11732792169047,ш
2021-12-20,81.08756673342235,ш
2021-12-21,81.343573672557,л
2021-12-22,81.76424889116457,л
2021-12-23,82.0864424385422,ш
2021-12-24,82.31727392869384,ш
2021-12-27,83.48290423356482,ш
2021-12-28,83.78035019971739,л
2021-12-29,84.22918175219772,л
2021-12-30,84.56546523858964,л
2022-01-03,85.86524095733222,
2022-01-04,86.09832931477561,
2022-01-05,86.4665744148719,
2022-01-06,86.7063452221821,
2022-01-07,86.82461394012863,
2022-01-10,87.47609012933205,
2022-01-11,87.54698203610636,
2022-01-12,87.7446924158535,
2022-01-13,87.80784626716327,
2022-01-14,87.74591983724778,
2022-01-17,87.86338138731558,
2022-01-18,87.76849051666976,
2022-01-19,87.81169685765464,
2022-01-20,87.73468589702911,
2022-01-21,87.5498720234085,
2022-01-24,87.42838043183039,
2022-01-25,87.30415218069152,
2022-01-26,87.34568384507091,
2022-01-27,87.2954227109753,
2022-01-28,87.16598443093676,
2022-01-31,87.37536680721477,
2022-02-01,87.41091988957413,
2022-02-02,87.63274443634056,
2022-02-03,87.77989134474676,
2022-02-04,87.86107410703963,
2022-02-07,88.73645689216902,
2022-02-08,88.98890627737332,
2022-02-09,89.41646484315947,
2022-02-10,89.75302629565856,
2022-02-11,90.00231469960025,
2022-02-14,91.20921460473268,
2022-02-15,91.50200735790587,
2022-02-16,91.93010511599718,
2022-02-17,92.22567998241293,
2022-02-18,92.39156716230387,
2022-02-21,93.09813549908013,
2022-02-22,93.14671387011623,
2022-02-23,93.29702970538146,
2022-02-24,93.28556044685844,
2022-02-25,93.12015651674459,
